uniprot_ac_1	uniprot_ac_2	complex_id	complex_name
O00221	Q8NFZ5	5230	CHUK-NFKB2-REL-IKBKG-SPAG9-NFKB1-NFKBIE-COPB2-TNIP1-NFKBIA-RELA-TNIP2 complex
O00221	Q9Y6K9	5193	TNF-alpha/NF-kappa B signaling complex (CHUK, KPNA3, NFKB2, NFKBIB, REL, IKBKG,  NFKB1, NFKBIE, RELB,  NFKBIA, RELA, TNIP2)
O00221	Q9Y6K9	5230	CHUK-NFKB2-REL-IKBKG-SPAG9-NFKB1-NFKBIE-COPB2-TNIP1-NFKBIA-RELA-TNIP2 complex
O00231	O00232	32	PA700 complex
O00231	O00232	193	PA700-20S-PA28 complex
O00231	Q06323	193	PA700-20S-PA28 complex
O00231	Q15008	32	PA700 complex
O00231	Q15008	193	PA700-20S-PA28 complex
O00231	Q9UL46	193	PA700-20S-PA28 complex
O00231	Q9UNM6	32	PA700 complex
O00231	Q9UNM6	193	PA700-20S-PA28 complex
O00232	Q06323	193	PA700-20S-PA28 complex
O00232	Q15008	32	PA700 complex
O00232	Q15008	193	PA700-20S-PA28 complex
O00232	Q9UL46	193	PA700-20S-PA28 complex
O00232	Q9UNM6	32	PA700 complex
O00232	Q9UNM6	193	PA700-20S-PA28 complex
O00233	O00231	32	PA700 complex
O00233	O00231	193	PA700-20S-PA28 complex
O00233	O00232	32	PA700 complex
O00233	O00232	193	PA700-20S-PA28 complex
O00233	O75832	32	PA700 complex
O00233	O75832	193	PA700-20S-PA28 complex
O00233	Q06323	193	PA700-20S-PA28 complex
O00233	Q15008	32	PA700 complex
O00233	Q15008	193	PA700-20S-PA28 complex
O00233	Q9UL46	193	PA700-20S-PA28 complex
O00233	Q9UNM6	32	PA700 complex
O00233	Q9UNM6	193	PA700-20S-PA28 complex
O00255	P30876	1254	Menin-associated histone methyltransferase complex
O00255	Q03164	1256	MLL-HCF complex
O00255	Q15291	1254	Menin-associated histone methyltransferase complex
O00255	Q15291	1256	MLL-HCF complex
O00255	Q9C005	1254	Menin-associated histone methyltransferase complex
O00255	Q9UBL3	1254	Menin-associated histone methyltransferase complex
O00255	Q9UBL3	1256	MLL-HCF complex
O00255	Q9UMN6	1254	Menin-associated histone methyltransferase complex
O00257	O60315	642	CtBP complex
O00257	Q92618	642	CtBP complex
O00257	Q9Y232	642	CtBP complex
O00264	Q12770	1990	PGRMC1-SCAP complex
O00267	O60563	2603	Transcription elongation factor complex (SUPT5H, CDK9, CCNT1)
O00268	O43451	5386	MLL1-WDR5 complex
O00268	O75486	445	TFTC complex (TATA-binding protein-free TAF-II-containing complex)
O00268	O75486	455	TFTC complex (TATA-binding protein-free TAF-II-containing complex)
O00268	O75486	456	TFTC complex (TATA-binding protein-free TAF-II-containing complex)
O00268	O75486	459	TFTC complex (TATA-binding protein-free TAF-II-containing complex)
O00268	O75486	462	TFTC complex (TATA-binding protein-free TAF-II-containing complex)
O00268	O75486	470	TFTC complex (TATA-binding protein-free TAF-II-containing complex)
O00268	O75486	513	TFTC complex (TATA-binding protein-free TAF-II-containing complex)
O00268	P20226	155	TFIID complex
O00268	P20226	463	TFIID-beta complex
O00268	P20226	469	TFIID-beta complex
O00268	P20226	484	TFIID complex
O00268	P20226	485	TFIID complex, B-cell specific
O00268	P20226	492	DA complex
O00268	P20226	493	DAB complex
O00268	P20226	508	TFIID complex
O00268	P20226	509	TFIID complex
O00268	P20226	514	TFIID-beta complex
O00268	P20226	3009	TFIID complex
O00268	P49848	155	TFIID complex
O00268	P49848	445	TFTC complex (TATA-binding protein-free TAF-II-containing complex)
O00268	P49848	455	TFTC complex (TATA-binding protein-free TAF-II-containing complex)
O00268	P49848	456	TFTC complex (TATA-binding protein-free TAF-II-containing complex)
O00268	P49848	459	TFTC complex (TATA-binding protein-free TAF-II-containing complex)
O00268	P49848	462	TFTC complex (TATA-binding protein-free TAF-II-containing complex)
O00268	P49848	463	TFIID-beta complex
O00268	P49848	469	TFIID-beta complex
O00268	P49848	470	TFTC complex (TATA-binding protein-free TAF-II-containing complex)
O00268	P49848	484	TFIID complex
O00268	P49848	485	TFIID complex, B-cell specific
O00268	P49848	492	DA complex
O00268	P49848	493	DAB complex
O00268	P49848	508	TFIID complex
O00268	P49848	509	TFIID complex
O00268	P49848	513	TFTC complex (TATA-binding protein-free TAF-II-containing complex)
O00268	P49848	514	TFIID-beta complex
O00268	P49848	3009	TFIID complex
O00268	P49848	3010	TFIID subcomplex
O00268	P49848	5386	MLL1-WDR5 complex
O00268	Q12962	155	TFIID complex
O00268	Q12962	445	TFTC complex (TATA-binding protein-free TAF-II-containing complex)
O00268	Q12962	455	TFTC complex (TATA-binding protein-free TAF-II-containing complex)
O00268	Q12962	456	TFTC complex (TATA-binding protein-free TAF-II-containing complex)
O00268	Q12962	459	TFTC complex (TATA-binding protein-free TAF-II-containing complex)
O00268	Q12962	462	TFTC complex (TATA-binding protein-free TAF-II-containing complex)
O00268	Q12962	463	TFIID-beta complex
O00268	Q12962	469	TFIID-beta complex
O00268	Q12962	470	TFTC complex (TATA-binding protein-free TAF-II-containing complex)
O00268	Q12962	484	TFIID complex
O00268	Q12962	485	TFIID complex, B-cell specific
O00268	Q12962	492	DA complex
O00268	Q12962	493	DAB complex
O00268	Q12962	508	TFIID complex
O00268	Q12962	509	TFIID complex
O00268	Q12962	513	TFTC complex (TATA-binding protein-free TAF-II-containing complex)
O00268	Q12962	514	TFIID-beta complex
O00268	Q15542	155	TFIID complex
O00268	Q15542	445	TFTC complex (TATA-binding protein-free TAF-II-containing complex)
O00268	Q15542	455	TFTC complex (TATA-binding protein-free TAF-II-containing complex)
O00268	Q15542	456	TFTC complex (TATA-binding protein-free TAF-II-containing complex)
O00268	Q15542	459	TFTC complex (TATA-binding protein-free TAF-II-containing complex)
O00268	Q15542	462	TFTC complex (TATA-binding protein-free TAF-II-containing complex)
O00268	Q15542	463	TFIID-beta complex
O00268	Q15542	469	TFIID-beta complex
O00268	Q15542	470	TFTC complex (TATA-binding protein-free TAF-II-containing complex)
O00268	Q15542	484	TFIID complex
O00268	Q15542	485	TFIID complex, B-cell specific
O00268	Q15542	492	DA complex
O00268	Q15542	493	DAB complex
O00268	Q15542	508	TFIID complex
O00268	Q15542	509	TFIID complex
O00268	Q15542	513	TFTC complex (TATA-binding protein-free TAF-II-containing complex)
O00268	Q15542	514	TFIID-beta complex
O00268	Q15542	3009	TFIID complex
O00268	Q15542	3010	TFIID subcomplex
O00268	Q15543	463	TFIID-beta complex
O00268	Q15543	469	TFIID-beta complex
O00268	Q15543	470	TFTC complex (TATA-binding protein-free TAF-II-containing complex)
O00268	Q15543	484	TFIID complex
O00268	Q15543	485	TFIID complex, B-cell specific
O00268	Q15543	492	DA complex
O00268	Q15543	493	DAB complex
O00268	Q15543	509	TFIID complex
O00268	Q15543	514	TFIID-beta complex
O00268	Q15544	155	TFIID complex
O00268	Q15544	463	TFIID-beta complex
O00268	Q15544	469	TFIID-beta complex
O00268	Q15544	484	TFIID complex
O00268	Q15544	485	TFIID complex, B-cell specific
O00268	Q15544	492	DA complex
O00268	Q15544	493	DAB complex
O00268	Q15544	508	TFIID complex
O00268	Q15544	509	TFIID complex
O00268	Q15544	514	TFIID-beta complex
O00268	Q15544	3009	TFIID complex
O00268	Q15545	445	TFTC complex (TATA-binding protein-free TAF-II-containing complex)
O00268	Q15545	455	TFTC complex (TATA-binding protein-free TAF-II-containing complex)
O00268	Q15545	456	TFTC complex (TATA-binding protein-free TAF-II-containing complex)
O00268	Q15545	459	TFTC complex (TATA-binding protein-free TAF-II-containing complex)
O00268	Q15545	462	TFTC complex (TATA-binding protein-free TAF-II-containing complex)
O00268	Q15545	463	TFIID-beta complex
O00268	Q15545	469	TFIID-beta complex
O00268	Q15545	470	TFTC complex (TATA-binding protein-free TAF-II-containing complex)
O00268	Q15545	484	TFIID complex
O00268	Q15545	485	TFIID complex, B-cell specific
O00268	Q15545	492	DA complex
O00268	Q15545	493	DAB complex
O00268	Q15545	508	TFIID complex
O00268	Q15545	509	TFIID complex
O00268	Q15545	513	TFTC complex (TATA-binding protein-free TAF-II-containing complex)
O00268	Q15545	514	TFIID-beta complex
O00268	Q15545	5386	MLL1-WDR5 complex
O00268	Q16514	445	TFTC complex (TATA-binding protein-free TAF-II-containing complex)
O00268	Q16514	455	TFTC complex (TATA-binding protein-free TAF-II-containing complex)
O00268	Q16514	456	TFTC complex (TATA-binding protein-free TAF-II-containing complex)
O00268	Q16514	459	TFTC complex (TATA-binding protein-free TAF-II-containing complex)
O00268	Q16514	462	TFTC complex (TATA-binding protein-free TAF-II-containing complex)
O00268	Q16514	463	TFIID-beta complex
O00268	Q16514	469	TFIID-beta complex
O00268	Q16514	470	TFTC complex (TATA-binding protein-free TAF-II-containing complex)
O00268	Q16514	484	TFIID complex
O00268	Q16514	485	TFIID complex, B-cell specific
O00268	Q16514	492	DA complex
O00268	Q16514	493	DAB complex
O00268	Q16514	497	TAF4-TAF12 subcomplex of TFIID complex
O00268	Q16514	508	TFIID complex
O00268	Q16514	509	TFIID complex
O00268	Q16514	513	TFTC complex (TATA-binding protein-free TAF-II-containing complex)
O00268	Q16514	514	TFIID-beta complex
O00268	Q16514	3009	TFIID complex
O00268	Q16514	3010	TFIID subcomplex
O00268	Q16594	155	TFIID complex
O00268	Q16594	445	TFTC complex (TATA-binding protein-free TAF-II-containing complex)
O00268	Q16594	455	TFTC complex (TATA-binding protein-free TAF-II-containing complex)
O00268	Q16594	456	TFTC complex (TATA-binding protein-free TAF-II-containing complex)
O00268	Q16594	459	TFTC complex (TATA-binding protein-free TAF-II-containing complex)
O00268	Q16594	462	TFTC complex (TATA-binding protein-free TAF-II-containing complex)
O00268	Q16594	463	TFIID-beta complex
O00268	Q16594	469	TFIID-beta complex
O00268	Q16594	470	TFTC complex (TATA-binding protein-free TAF-II-containing complex)
O00268	Q16594	484	TFIID complex
O00268	Q16594	485	TFIID complex, B-cell specific
O00268	Q16594	492	DA complex
O00268	Q16594	493	DAB complex
O00268	Q16594	508	TFIID complex
O00268	Q16594	509	TFIID complex
O00268	Q16594	513	TFTC complex (TATA-binding protein-free TAF-II-containing complex)
O00268	Q16594	514	TFIID-beta complex
O00268	Q16594	3009	TFIID complex
O00268	Q16594	3010	TFIID subcomplex
O00268	Q16594	5386	MLL1-WDR5 complex
O00268	Q5VWG9	492	DA complex
O00268	Q5VWG9	493	DAB complex
O00268	Q92750	485	TFIID complex, B-cell specific
O00268	Q92804	509	TFIID complex
O00268	Q9H7Z6	5386	MLL1-WDR5 complex
O00268	Q9UBL3	5386	MLL1-WDR5 complex
O00268	Q9Y265	5386	MLL1-WDR5 complex
O00268	Q9Y3D8	155	TFIID complex
O00268	Q9Y3D8	445	TFTC complex (TATA-binding protein-free TAF-II-containing complex)
O00268	Q9Y3D8	455	TFTC complex (TATA-binding protein-free TAF-II-containing complex)
O00268	Q9Y3D8	456	TFTC complex (TATA-binding protein-free TAF-II-containing complex)
O00268	Q9Y3D8	459	TFTC complex (TATA-binding protein-free TAF-II-containing complex)
O00268	Q9Y3D8	462	TFTC complex (TATA-binding protein-free TAF-II-containing complex)
O00268	Q9Y3D8	463	TFIID-beta complex
O00268	Q9Y3D8	469	TFIID-beta complex
O00268	Q9Y3D8	470	TFTC complex (TATA-binding protein-free TAF-II-containing complex)
O00268	Q9Y3D8	484	TFIID complex
O00268	Q9Y3D8	485	TFIID complex, B-cell specific
O00268	Q9Y3D8	492	DA complex
O00268	Q9Y3D8	493	DAB complex
O00268	Q9Y3D8	508	TFIID complex
O00268	Q9Y3D8	509	TFIID complex
O00268	Q9Y3D8	513	TFTC complex (TATA-binding protein-free TAF-II-containing complex)
O00268	Q9Y3D8	514	TFIID-beta complex
O00268	Q9Y3D8	3009	TFIID complex
O00268	Q9Y3D8	3010	TFIID subcomplex
O00268	Q9Y3D8	5386	MLL1-WDR5 complex
O00268	Q9Y4A5	445	TFTC complex (TATA-binding protein-free TAF-II-containing complex)
O00268	Q9Y4A5	455	TFTC complex (TATA-binding protein-free TAF-II-containing complex)
O00268	Q9Y4A5	456	TFTC complex (TATA-binding protein-free TAF-II-containing complex)
O00268	Q9Y4A5	459	TFTC complex (TATA-binding protein-free TAF-II-containing complex)
O00268	Q9Y4A5	462	TFTC complex (TATA-binding protein-free TAF-II-containing complex)
O00268	Q9Y4A5	470	TFTC complex (TATA-binding protein-free TAF-II-containing complex)
O00268	Q9Y4A5	513	TFTC complex (TATA-binding protein-free TAF-II-containing complex)
O00268	Q9Y4W2	5386	MLL1-WDR5 complex
O00303	O15372	742	eIF3 complex (EIF3S6, EIF3S5, EIF3S4, EIF3S3, EIF3S6IP, EIF3S2, EIF3S9, EIF3S12,  EIF3S10, EIF3S8,  EIF3S1, EIF3S7)
O00303	O15372	1097	eIF3 complex (EIF3S6, EIF3S5, EIF3S4, EIF3S3, EIF3S6IP, EIF3S2, EIF3S9, EIF3S12,  EIF3S10, EIF3S8,  EIF3S1, EIF3S7, PCID1)
O00303	O75821	742	eIF3 complex (EIF3S6, EIF3S5, EIF3S4, EIF3S3, EIF3S6IP, EIF3S2, EIF3S9, EIF3S12,  EIF3S10, EIF3S8,  EIF3S1, EIF3S7)
O00303	O75821	1097	eIF3 complex (EIF3S6, EIF3S5, EIF3S4, EIF3S3, EIF3S6IP, EIF3S2, EIF3S9, EIF3S12,  EIF3S10, EIF3S8,  EIF3S1, EIF3S7, PCID1)
O00303	O75822	742	eIF3 complex (EIF3S6, EIF3S5, EIF3S4, EIF3S3, EIF3S6IP, EIF3S2, EIF3S9, EIF3S12,  EIF3S10, EIF3S8,  EIF3S1, EIF3S7)
O00303	O75822	1097	eIF3 complex (EIF3S6, EIF3S5, EIF3S4, EIF3S3, EIF3S6IP, EIF3S2, EIF3S9, EIF3S12,  EIF3S10, EIF3S8,  EIF3S1, EIF3S7, PCID1)
O00303	Q13347	742	eIF3 complex (EIF3S6, EIF3S5, EIF3S4, EIF3S3, EIF3S6IP, EIF3S2, EIF3S9, EIF3S12,  EIF3S10, EIF3S8,  EIF3S1, EIF3S7)
O00303	Q13347	1097	eIF3 complex (EIF3S6, EIF3S5, EIF3S4, EIF3S3, EIF3S6IP, EIF3S2, EIF3S9, EIF3S12,  EIF3S10, EIF3S8,  EIF3S1, EIF3S7, PCID1)
O00422	O14497	739	SIN3-ING1b complex II
O00422	O15379	5614	Emerin complex 32
O00422	O60264	1257	ALL-1 supercomplex
O00422	O60341	1257	ALL-1 supercomplex
O00422	O75446	54	SIN3 complex
O00422	O75446	283	Sin3 complex
O00422	O75446	691	SIN3-SAP25 complex
O00422	O75446	732	SIN3 complex
O00422	O75446	738	SIN3-ING1b complex I
O00422	O75446	739	SIN3-ING1b complex II
O00422	O75446	743	SIN3-SAP25 complex
O00422	O75446	1257	ALL-1 supercomplex
O00422	O94776	1257	ALL-1 supercomplex
O00422	O95983	1257	ALL-1 supercomplex
O00422	O96019	739	SIN3-ING1b complex II
O00422	P20226	1257	ALL-1 supercomplex
O00422	P20700	5614	Emerin complex 32
O00422	P21675	1257	ALL-1 supercomplex
O00422	P28749	5614	Emerin complex 32
O00422	P49848	1257	ALL-1 supercomplex
O00422	P50402	5614	Emerin complex 32
O00422	P51531	1257	ALL-1 supercomplex
O00422	P51532	739	SIN3-ING1b complex II
O00422	P60709	5614	Emerin complex 32
O00422	P61964	1257	ALL-1 supercomplex
O00422	P62826	1257	ALL-1 supercomplex
O00422	P68431	5614	Emerin complex 32
O00422	Q03164	1257	ALL-1 supercomplex
O00422	Q08999	5614	Emerin complex 32
O00422	Q09028	54	SIN3 complex
O00422	Q09028	283	Sin3 complex
O00422	Q09028	691	SIN3-SAP25 complex
O00422	Q09028	732	SIN3 complex
O00422	Q09028	738	SIN3-ING1b complex I
O00422	Q09028	739	SIN3-ING1b complex II
O00422	Q09028	743	SIN3-SAP25 complex
O00422	Q09028	1257	ALL-1 supercomplex
O00422	Q12824	739	SIN3-ING1b complex II
O00422	Q12824	1257	ALL-1 supercomplex
O00422	Q12824	5614	Emerin complex 32
O00422	Q12873	1257	ALL-1 supercomplex
O00422	Q13287	5614	Emerin complex 32
O00422	Q13547	54	SIN3 complex
O00422	Q13547	283	Sin3 complex
O00422	Q13547	691	SIN3-SAP25 complex
O00422	Q13547	732	SIN3 complex
O00422	Q13547	738	SIN3-ING1b complex I
O00422	Q13547	739	SIN3-ING1b complex II
O00422	Q13547	743	SIN3-SAP25 complex
O00422	Q13547	1257	ALL-1 supercomplex
O00422	Q13547	5614	Emerin complex 32
O00422	Q13813	5614	Emerin complex 32
O00422	Q14839	5614	Emerin complex 32
O00422	Q15029	1257	ALL-1 supercomplex
O00422	Q15287	760	Apoptosis- and splicing-associated protein complex (ASAP-L), SAP18-RNPS1-Acinus-L
O00422	Q15287	761	Apoptosis- and splicing-associated protein complex (ASAP-S), SAP18-RNPS1-Acinus-S
O00422	Q15291	1257	ALL-1 supercomplex
O00422	Q16514	1257	ALL-1 supercomplex
O00422	Q16576	54	SIN3 complex
O00422	Q16576	283	Sin3 complex
O00422	Q16576	691	SIN3-SAP25 complex
O00422	Q16576	732	SIN3 complex
O00422	Q16576	738	SIN3-ING1b complex I
O00422	Q16576	739	SIN3-ING1b complex II
O00422	Q16576	743	SIN3-SAP25 complex
O00422	Q16576	1257	ALL-1 supercomplex
O00422	Q16594	1257	ALL-1 supercomplex
O00422	Q4LE39	691	SIN3-SAP25 complex
O00422	Q4LE39	738	SIN3-ING1b complex I
O00422	Q4LE39	739	SIN3-ING1b complex II
O00422	Q4LE39	743	SIN3-SAP25 complex
O00422	Q8TAQ2	739	SIN3-ING1b complex II
O00422	Q8TAQ2	1257	ALL-1 supercomplex
O00422	Q8TAQ2	5614	Emerin complex 32
O00422	Q92769	54	SIN3 complex
O00422	Q92769	283	Sin3 complex
O00422	Q92769	691	SIN3-SAP25 complex
O00422	Q92769	732	SIN3 complex
O00422	Q92769	738	SIN3-ING1b complex I
O00422	Q92769	739	SIN3-ING1b complex II
O00422	Q92769	743	SIN3-SAP25 complex
O00422	Q92769	1257	ALL-1 supercomplex
O00422	Q92797	1257	ALL-1 supercomplex
O00422	Q92922	739	SIN3-ING1b complex II
O00422	Q92922	1257	ALL-1 supercomplex
O00422	Q92922	5614	Emerin complex 32
O00422	Q96GM5	739	SIN3-ING1b complex II
O00422	Q96ST3	54	SIN3 complex
O00422	Q96ST3	283	Sin3 complex
O00422	Q96ST3	691	SIN3-SAP25 complex
O00422	Q96ST3	732	SIN3 complex
O00422	Q96ST3	738	SIN3-ING1b complex I
O00422	Q96ST3	739	SIN3-ING1b complex II
O00422	Q96ST3	743	SIN3-SAP25 complex
O00422	Q96ST3	1257	ALL-1 supercomplex
O00422	Q9BQ87	5614	Emerin complex 32
O00422	Q9BZK7	5614	Emerin complex 32
O00422	Q9C005	5614	Emerin complex 32
O00422	Q9H0E3	691	SIN3-SAP25 complex
O00422	Q9H0E3	743	SIN3-SAP25 complex
O00422	Q9H503	5614	Emerin complex 32
O00422	Q9H7L9	691	SIN3-SAP25 complex
O00422	Q9H7L9	743	SIN3-SAP25 complex
O00422	Q9NPJ6	5614	Emerin complex 32
O00422	Q9P2I0	1257	ALL-1 supercomplex
O00422	Q9UK53	738	SIN3-ING1b complex I
O00422	Q9UK53	739	SIN3-ING1b complex II
O00422	Q9UKL0	5614	Emerin complex 32
O00422	Q9UKV3	760	Apoptosis- and splicing-associated protein complex (ASAP-L), SAP18-RNPS1-Acinus-L
O00422	Q9UKV3	761	Apoptosis- and splicing-associated protein complex (ASAP-S), SAP18-RNPS1-Acinus-S
O00422	Q9Y3D8	1257	ALL-1 supercomplex
O00425	O00571	351	Spliceosome
O00425	O14776	351	Spliceosome
O00425	O15042	351	Spliceosome
O00425	O15355	351	Spliceosome
O00425	O43143	351	Spliceosome
O00425	O43172	351	Spliceosome
O00425	O43290	351	Spliceosome
O00425	O43395	351	Spliceosome
O00425	O43660	351	Spliceosome
O00425	O43670	351	Spliceosome
O00425	O43719	351	Spliceosome
O00425	O43809	351	Spliceosome
O00425	O60231	351	Spliceosome
O00425	O60306	351	Spliceosome
O00425	O60508	351	Spliceosome
O00425	O75400	351	Spliceosome
O00425	O75533	351	Spliceosome
O00425	O75643	351	Spliceosome
O00425	O75937	351	Spliceosome
O00425	O94906	351	Spliceosome
O00425	O95232	351	Spliceosome
O00425	O95926	351	Spliceosome
O00425	P08579	351	Spliceosome
O00425	P08621	351	Spliceosome
O00425	P09012	351	Spliceosome
O00425	P09234	351	Spliceosome
O00425	P09661	351	Spliceosome
O00425	P11940	351	Spliceosome
